title,company,location,date_posted,job_type,salary,description,url,source,scraped_at
"Software Engineer, AI Automation",Paces,"Brooklyn, NY",2026-04-17,,,,https://www.linkedin.com/jobs/view/software-engineer-ai-automation-at-paces-4402330894?position=1&pageNum=0&refId=t1%2FgIJ5EqUVWpHL4NVx5hw%3D%3D&trackingId=3%2BOLrmQdeyNBoLemeAayfA%3D%3D,LinkedIn,2026-04-18T12:23:01.690006
AI Automation Engineer,Communities.Tech,Argentina,2026-04-13,,,,https://ar.linkedin.com/jobs/view/ai-automation-engineer-at-communities-tech-4401060834?position=2&pageNum=0&refId=t1%2FgIJ5EqUVWpHL4NVx5hw%3D%3D&trackingId=pSdd%2B1AdwhRv80aqeVH1RQ%3D%3D,LinkedIn,2026-04-18T12:23:02.553204
AI Automation Engineer,Business Knowledge Services,"Rutland, VT",2026-04-13,,,,https://www.linkedin.com/jobs/view/ai-automation-engineer-at-business-knowledge-services-4401504322?position=3&pageNum=0&refId=t1%2FgIJ5EqUVWpHL4NVx5hw%3D%3D&trackingId=YNofJsoZ1yE09lwG8uaqVw%3D%3D,LinkedIn,2026-04-18T12:23:03.332038
AI Automation Engineer,Tutor Me LA LLC,"Quezon City, National Capital Region, Philippines",2026-04-13,,,,https://ph.linkedin.com/jobs/view/ai-automation-engineer-at-tutor-me-la-llc-4401345559?position=4&pageNum=0&refId=t1%2FgIJ5EqUVWpHL4NVx5hw%3D%3D&trackingId=s1oOTOh3Q6aL9II5BlTTfg%3D%3D,LinkedIn,2026-04-18T12:23:04.118027
Otomasyon Mühendisi,Eker,"Bursa, Türkiye",2026-04-13,,,,https://tr.linkedin.com/jobs/view/otomasyon-m%C3%BChendisi-at-eker-4399528601?position=5&pageNum=0&refId=t1%2FgIJ5EqUVWpHL4NVx5hw%3D%3D&trackingId=%2BhgqzvToRKUq66PU6KrRrQ%3D%3D,LinkedIn,2026-04-18T12:23:04.899258
AI Automation Engineer,QuSecure,United States,2026-04-17,,,,https://www.linkedin.com/jobs/view/ai-automation-engineer-at-qusecure-4402752400?position=6&pageNum=0&refId=t1%2FgIJ5EqUVWpHL4NVx5hw%3D%3D&trackingId=Gka8JC1D3xk2X3wg9oxNQw%3D%3D,LinkedIn,2026-04-18T12:23:05.710900
Automation Engineer,LAPORTE,"Toronto, Ontario, Canada",2026-04-13,,,,https://ca.linkedin.com/jobs/view/automation-engineer-at-laporte-4384072494?position=7&pageNum=0&refId=t1%2FgIJ5EqUVWpHL4NVx5hw%3D%3D&trackingId=GYJ3bL%2Ffhb9iiJ9ZR%2BmFDg%3D%3D,LinkedIn,2026-04-18T12:23:06.680236
Automation Engineer (Siemens PLC),PACIV,"Indianapolis, IN",2026-04-16,,,,https://www.linkedin.com/jobs/view/automation-engineer-siemens-plc-at-paciv-4400437799?position=8&pageNum=0&refId=t1%2FgIJ5EqUVWpHL4NVx5hw%3D%3D&trackingId=YkEvvOXAZz%2F%2BJDucdTJTbg%3D%3D,LinkedIn,2026-04-18T12:23:07.346648
Automation Engineer,MAS S.A.,"Athens, Attiki, Greece",2026-04-16,,,,https://gr.linkedin.com/jobs/view/automation-engineer-at-mas-s-a-4402908121?position=9&pageNum=0&refId=t1%2FgIJ5EqUVWpHL4NVx5hw%3D%3D&trackingId=zPRutodpg2oGY9rVMiiI1Q%3D%3D,LinkedIn,2026-04-18T12:23:08.282297
Automation Engineer,SWITS DIGITAL Private Limited,"Atlanta, GA",2026-04-13,,,,https://www.linkedin.com/jobs/view/automation-engineer-at-swits-digital-private-limited-4401323053?position=10&pageNum=0&refId=t1%2FgIJ5EqUVWpHL4NVx5hw%3D%3D&trackingId=TsCtEOcLrIHwCqyU1fN8gA%3D%3D,LinkedIn,2026-04-18T12:23:09.141135
