title,company,location,date_posted,job_type,salary,description,url,source,scraped_at
"Sr. Electronics Engineer, Actuators & Drives, Frontier AI & Robotics",Amazon.com Services LLC,"San Francisco, CA",N/A,,,,https://www.indeed.com/rc/clk?jk=4e028a3b9ee4f6df&bb=Poo9dNdWGxs0n30ljLflR8tyghxgRWKOPiuzYJox8ohjbunkZkCdl3UwU79e7etISvMrocG5oLrkPA0hHUuMrkxtwMAaNTvGuirC4gVxI7IJf1LPS0i0-O1RLVBFvSYuacDQpy2HxI2AOd_yQtaFLw%3D%3D&xkcb=SoD967M3kYrPFCQGTh0LbzkdCdPP&fccid=fe2d21eef233e94a&vjs=3,Indeed,2026-04-21T22:30:54.058438
"Sr. Firmware Engineer, Robotics, Frontier AI & Robotics",Amazon.com Services LLC,"San Francisco, CA",N/A,,,,https://www.indeed.com/rc/clk?jk=8a585bad45f28374&bb=Poo9dNdWGxs0n30ljLflR0Yu_BgbQobTDyCWkxJeipfRnT-4YwqcBQyRtMgCzoVZ47o-WaSJ4hcgLHRqDqDkW9xE3OMJa_c4wX-wVvcX5vi6gOJU5zuSO9y6eIrPVFFcwxeAIxWfBtI8ooNhSzoimQ%3D%3D&xkcb=SoBJ67M3kYrPFCQGTh0KbzkdCdPP&fccid=fe2d21eef233e94a&vjs=3,Indeed,2026-04-21T22:30:54.998998
AI Native FDE Product Manager,Accenture,"Hybrid work in Seattle, WA 98101",N/A,,,,https://www.indeed.com/rc/clk?jk=b1a084f3adf181dd&bb=Poo9dNdWGxs0n30ljLflRw8odEdsiw6bnMRmoCOmQEUizt8efuZ6C6p8FLDvILhuICtVxoBWsTOgB2qwzLfum99mJDEAbLHMZGxZrWxQOeFNWOe-hsnHTNrK43OKxTJQdtrfiP1pbakutjoYO1ZkHA%3D%3D&xkcb=SoDU67M3kYrPFCQGTh0JbzkdCdPP&fccid=a4e4e2eaf26690c9&vjs=3,Indeed,2026-04-21T22:30:55.940866
"Principal Researcher, Conversational AI & Channels",Humana,Remote,N/A,,,,https://www.indeed.com/rc/clk?jk=186038051b4de26f&bb=Poo9dNdWGxs0n30ljLflRzbvaXo6Gf8Qv5etW_LhQTOL7YO1UANYpP2Hjf05UW_GiE-vYFuZ7-wAJMov5MQNtZ3k3h82aVNAyzjx-msxfC-Xf5fFH2iHeTQGOcQmjtsHnLWQjoyYRZsPNAQBWAEB8w%3D%3D&xkcb=SoBg67M3kYrPFCQGTh0IbzkdCdPP&fccid=5f1f0e6dcc6cbc83&vjs=3,Indeed,2026-04-21T22:30:57.805025
"Senior Associate, AI Engineer",KPMG,"Chicago, IL 60601 
(The Loop area)",N/A,,,,https://www.indeed.com/rc/clk?jk=3d3bed416a13aa84&bb=Poo9dNdWGxs0n30ljLflR5lH6dZ44lUOjvLQKenEjby3nK41A0xkZNvL4wTPSwdjrOl3c2uPNBq8ntCuL6PPjX2V72wkGAqu79pGyAEmSWvJ2v2oUtMWApM_5niiGRrkGAqr0Q42-_0eb4Vrkp_nfQ%3D%3D&xkcb=SoDu67M3kYrPFCQGTh0PbzkdCdPP&fccid=2dd390c3a48a7ed0&vjs=3,Indeed,2026-04-21T22:30:58.416793
"Solutions Architect, Selling Partner Developer Services",Amazon.com Services LLC,"Irving, TX",N/A,,,,https://www.indeed.com/rc/clk?jk=30a0b2ba02f4b771&bb=Poo9dNdWGxs0n30ljLflR_F2k-u-eRyo6-U3KlC8zWl1scFU6iG5STrDU1ZeBu5hSiwHsYSRTkfVVSpw6xrfqh3WAzV-BR1fmkuDlxHLL7iL0p0Cgx8_7Z4XOZUeQkRTjIxf8gMWh-EC5sZAK12Oqw%3D%3D&xkcb=SoCa67M3kYrPFCQGTh0DbzkdCdPP&fccid=fe2d21eef233e94a&vjs=3,Indeed,2026-04-21T22:30:59.262353
Software Development Engineer,Amazon.com Services LLC,"New York, NY",N/A,,,,https://www.indeed.com/rc/clk?jk=16bdd373c0b6d21c&bb=Poo9dNdWGxs0n30ljLflR4ORnOS2AIqT2LOYKIiLDf7GhhsUB240EH-SA7mzftpHQBIvWx2qXz6AYf0Af8a2h5BJHpvoOtkyhpQA1dof10CHkGktrk-TlHGVQFGOFSLp-vrxWmadH36yVHXtxCBoOw%3D%3D&xkcb=SoAu67M3kYrPFCQGTh0CbzkdCdPP&fccid=fe2d21eef233e94a&vjs=3,Indeed,2026-04-21T22:30:59.863581
"Director, AI Strategy Architect",KPMG,"Chicago, IL 60601 
(The Loop area)",N/A,,,,https://www.indeed.com/rc/clk?jk=de3431b24be6eb95&bb=Poo9dNdWGxs0n30ljLflR90SnVBOSrxMsuOYntBq4yO1a9JJO2BL4nco_y4UNX_QU7wFVvNSz0cUYbdl_cBRTbyWqgKdV21rcxFbUOcQorGdxxvzrmpbfbamrZpefjHoYKNkuEBsySCDczJXWKHGZQ%3D%3D&xkcb=SoA967M3kYrPFCQGTh0GbzkdCdPP&fccid=2dd390c3a48a7ed0&vjs=3,Indeed,2026-04-21T22:31:00.373592
Senior platform engineer,Apple,"Seattle, WA 98105 
(Ravenna area)",N/A,,,,https://www.indeed.com/rc/clk?jk=62c05d3806579c4b&bb=Poo9dNdWGxs0n30ljLflR_TQJ2Y82YAdkO8imUq9TWUzgWAu4l8Rh7kGx5NjymTULbAYRaauowVVD0f3iHZwQpjt_58aN3ZhTYfdhdwrrs6cMWP9XWIa2W1Ezg3t7Gt-muidFbD1VoVU46l3ULbtRg%3D%3D&xkcb=SoCg67M3kYrPFCQGTh0FbzkdCdPP&fccid=c1099851e9794854&vjs=3,Indeed,2026-04-21T22:31:01.006044
"Screening & Integration Engineer, Watch Software",Apple,"Cupertino, CA",N/A,,,,https://www.indeed.com/rc/clk?jk=743e168e6bcef9aa&bb=Poo9dNdWGxs0n30ljLflR9uN7CMXTlziGwwUdWwH5UnSIpV_cUfnhU-lhvO5M4O27KyIKPWTb-gZyQGnhDjpMuEWixbt3IqPkYdlDhI-c6chDpWaPU89GkWQgM0SyCBpRmEAGnqMUvykD4u9SPkKTA%3D%3D&xkcb=SoAa67M3kYrPFCQGTh0ZbzkdCdPP&fccid=c1099851e9794854&vjs=3,Indeed,2026-04-21T22:31:01.913969
