title,company,location,date_posted,job_type,salary,description,url,source,scraped_at
AI Automation Engineer,Huzzle.com,United Kingdom,2026-04-21,,,,https://uk.linkedin.com/jobs/view/ai-automation-engineer-at-huzzle-com-4404562020?position=1&pageNum=0&refId=tDIOI3p7jXCnI1vSC5UFSg%3D%3D&trackingId=C7NkM9ZhYVoIdrWDUIZCzA%3D%3D,LinkedIn,2026-04-21T22:30:12.378380
AI Automation Engineer,Huzzle.com,Latvia,2026-04-21,,,,https://lv.linkedin.com/jobs/view/ai-automation-engineer-at-huzzle-com-4404536997?position=2&pageNum=0&refId=tDIOI3p7jXCnI1vSC5UFSg%3D%3D&trackingId=y%2B7Q7mTUq1Tqo1pJGxJ8vA%3D%3D,LinkedIn,2026-04-21T22:30:13.169346
AI Automation Engineer,Huzzle.com,Spain,2026-04-21,,,,https://es.linkedin.com/jobs/view/ai-automation-engineer-at-huzzle-com-4404560041?position=3&pageNum=0&refId=tDIOI3p7jXCnI1vSC5UFSg%3D%3D&trackingId=vGxMuD3qtE0k%2FUgNLtqxOQ%3D%3D,LinkedIn,2026-04-21T22:30:13.829114
"Software Engineer, AI Automation",Paces,"Brooklyn, NY",2026-04-17,,,,https://www.linkedin.com/jobs/view/software-engineer-ai-automation-at-paces-4402330894?position=4&pageNum=0&refId=tDIOI3p7jXCnI1vSC5UFSg%3D%3D&trackingId=g1qsAYFQYiu%2B5pWQNYAyeA%3D%3D,LinkedIn,2026-04-21T22:30:14.853281
AI/ML Engineer,Careerswift,"San Francisco, CA",2026-04-14,,,,https://www.linkedin.com/jobs/view/ai-ml-engineer-at-careerswift-4402038697?position=5&pageNum=0&refId=tDIOI3p7jXCnI1vSC5UFSg%3D%3D&trackingId=g5WQBxYiZAqfbF08xzDqtw%3D%3D,LinkedIn,2026-04-21T22:30:15.503492
AI Automation Engineer,Huzzle.com,Bulgaria,2026-04-21,,,,https://bg.linkedin.com/jobs/view/ai-automation-engineer-at-huzzle-com-4404555082?position=6&pageNum=0&refId=tDIOI3p7jXCnI1vSC5UFSg%3D%3D&trackingId=%2BWBR3dw3M7WRv3HHb4Awfg%3D%3D,LinkedIn,2026-04-21T22:30:16.227523
AI Automation Engineer,Huzzle.com,Greece,2026-04-21,,,,https://gr.linkedin.com/jobs/view/ai-automation-engineer-at-huzzle-com-4404551183?position=7&pageNum=0&refId=tDIOI3p7jXCnI1vSC5UFSg%3D%3D&trackingId=JjJPbmKnvkIBNtKB7A%2FL9g%3D%3D,LinkedIn,2026-04-21T22:30:17.037179
AI Automation Engineer,Huzzle.com,North Macedonia,2026-04-21,,,,https://mk.linkedin.com/jobs/view/ai-automation-engineer-at-huzzle-com-4404555079?position=8&pageNum=0&refId=tDIOI3p7jXCnI1vSC5UFSg%3D%3D&trackingId=EdeFJ3XHqR%2BOCl%2Bq32lMlg%3D%3D,LinkedIn,2026-04-21T22:30:17.975952
AI Automation Engineer,Huzzle.com,"Greater London, England, United Kingdom",2026-04-21,,,,https://uk.linkedin.com/jobs/view/ai-automation-engineer-at-huzzle-com-4403967753?position=9&pageNum=0&refId=tDIOI3p7jXCnI1vSC5UFSg%3D%3D&trackingId=rJRLNVIoFHeLpX0b2uMWAA%3D%3D,LinkedIn,2026-04-21T22:30:18.736088
AI/ML Engineer,Careerswift,"London, England, United Kingdom",2026-04-20,,,,https://uk.linkedin.com/jobs/view/ai-ml-engineer-at-careerswift-4404087917?position=10&pageNum=0&refId=tDIOI3p7jXCnI1vSC5UFSg%3D%3D&trackingId=56Deu5aHkDbDysRwJQb%2BzQ%3D%3D,LinkedIn,2026-04-21T22:30:19.320759
AI & Automation Lead,Service Foods,"Auckland, Auckland, New Zealand",2026-04-19,,,,https://nz.linkedin.com/jobs/view/ai-automation-lead-at-service-foods-4401278779?position=11&pageNum=0&refId=tDIOI3p7jXCnI1vSC5UFSg%3D%3D&trackingId=9w084Fl%2BGdPmQTxEGeoqhw%3D%3D,LinkedIn,2026-04-21T22:30:20.118368
Director of AI,EDETEK Inc.,"Jersey City, NJ",2026-04-20,,,,https://www.linkedin.com/jobs/view/director-of-ai-at-edetek-inc-4404365003?position=12&pageNum=0&refId=tDIOI3p7jXCnI1vSC5UFSg%3D%3D&trackingId=jkBvAyUFnPeXN3lsAW3oAw%3D%3D,LinkedIn,2026-04-21T22:30:20.774241
